Date : 2022-10-28 01:21:26
Directory : /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src
Total : 225 files,  22908 codes, 2219 comments, 2200 blanks, all 27327 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/colorful.css             | CSS        |        136 |          9 |         14 |        159 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/dracula.css              | CSS        |        122 |          5 |         14 |        141 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/emacs.css                | CSS        |        135 |         19 |         14 |        168 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/friendly.css             | CSS        |        149 |         10 |         25 |        184 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/fruity.css               | CSS        |        103 |          9 |         12 |        124 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/github.css               | CSS        |        151 |          5 |         19 |        175 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/igor.css                 | CSS        |        105 |          5 |         15 |        125 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/lovelace.css             | CSS        |        128 |          8 |         11 |        147 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/manni.css                | CSS        |        121 |          9 |         10 |        140 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/monokai.css              | CSS        |        120 |          3 |         10 |        133 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/monokailight.css         | CSS        |        153 |         14 |         14 |        181 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/murphy.css               | CSS        |        126 |          7 |         12 |        145 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/native.css               | CSS        |        132 |         19 |         14 |        165 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/paraiso-dark.css         | CSS        |        116 |         11 |         11 |        138 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/paraiso-light.css        | CSS        |        116 |         11 |         10 |        137 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/pastie.css               | CSS        |        146 |         10 |         25 |        181 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/perldoc.css              | CSS        |        120 |         12 |         10 |        142 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/pygments.css             | CSS        |        136 |          7 |         17 |        160 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/rainbow_dash.css         | CSS        |        143 |          5 |         17 |        165 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/rrt.css                  | CSS        |        125 |         10 |         25 |        160 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/solarized-dark.css       | CSS        |        123 |         11 |         13 |        147 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/solarized-dark256.css    | CSS        |        124 |          9 |         14 |        147 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/solarized-light.css      | CSS        |        141 |         11 |         12 |        164 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/swapoff.css              | CSS        |        121 |          6 |         18 |        145 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/tango.css                | CSS        |        161 |         10 |         13 |        184 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/trac.css                 | CSS        |        134 |         10 |         24 |        168 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/vim.css                  | CSS        |        127 |          5 |         13 |        145 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/vs.css                   | CSS        |         97 |          5 |         12 |        114 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/xcode.css                | CSS        |        148 |          6 |         21 |        175 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/yul.min.js                      | JavaScript |         30 |          0 |          0 |         30 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/i18n/en_US.js                                | JavaScript |         85 |          0 |          1 |         86 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/i18n/ja_JP.js                                | JavaScript |         85 |          0 |          1 |         86 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/i18n/ko_KR.js                                | JavaScript |         85 |          0 |          1 |         86 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/i18n/ru_RU.js                                | JavaScript |         85 |          0 |          1 |         86 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/i18n/zh_CN.js                                | JavaScript |         85 |          0 |          1 |         86 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/i18n/zh_TW.js                                | JavaScript |         85 |          0 |          1 |         86 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/icons/ant.js                                 | JavaScript |        174 |          0 |          1 |        175 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/icons/material.js                            | JavaScript |        195 |          0 |          1 |        196 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/katex/katex.min.css                          | CSS        |          1 |          0 |          1 |          2 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/katex/katex.min.js                           | JavaScript |          1 |          1 |          1 |          3 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/katex/mhchem.min.js                          | JavaScript |          1 |          0 |          1 |          2 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/lute/lute.min.js                             | JavaScript |         59 |          0 |          5 |         64 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/a11y/assistive-mml.js                | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/a11y/complexity.js                   | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/a11y/explorer.js                     | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/a11y/semantic-enrich.js              | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/asciimath.js                   | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/mml.js                         | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/mml/entities.js                | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex-base.js                    | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex-full.js                    | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex.js                         | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/action.js       | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/all-packages.js | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/ams.js          | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/amscd.js        | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/autoload.js     | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/bbox.js         | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/boldsymbol.js   | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/braket.js       | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/bussproofs.js   | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/cancel.js       | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/color.js        | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/colorV2.js      | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/configMacros.js | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/enclose.js      | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/extpfeil.js     | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/html.js         | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/mhchem.js       | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/newcommand.js   | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/noerrors.js     | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/noundefined.js  | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/physics.js      | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/require.js      | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/tagFormat.js    | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/textmacros.js   | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/unicode.js      | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/verb.js         | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/sre/mathmaps/de.js                   | JavaScript |        103 |          0 |          2 |        105 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/sre/mathmaps/en.js                   | JavaScript |        109 |          0 |          2 |        111 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/sre/mathmaps/es.js                   | JavaScript |        103 |          0 |          2 |        105 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/sre/mathmaps/fr.js                   | JavaScript |        103 |          0 |          2 |        105 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/sre/mathmaps/mathmaps_ie.js          | JavaScript |        517 |          0 |          2 |        519 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/sre/mathmaps/nemeth.js               | JavaScript |        103 |          0 |          2 |        105 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/sre/sre-node.js                      | JavaScript |         10 |          1 |          0 |         11 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/sre/sre_browser.js                   | JavaScript |        447 |      1,187 |          0 |      1,634 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/tex-svg-full.js                      | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mermaid/mermaid.min.js                       | JavaScript |          1 |          1 |          1 |          3 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/plantuml/plantuml-encoder.min.js             | JavaScript |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/method.ts                                       | TypeScript |         42 |         20 |          4 |         66 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/constants.ts                                 | TypeScript |         62 |          2 |          4 |         68 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/devtools/index.ts                            | TypeScript |         78 |          0 |          6 |         84 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/export/index.ts                              | TypeScript |         76 |          0 |          6 |         82 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/hint/index.ts                                | TypeScript |        249 |          5 |         23 |        277 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/ir/expandMarker.ts                           | TypeScript |         63 |          5 |         12 |         80 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/ir/highlightToolbarIR.ts                     | TypeScript |         83 |          0 |         15 |         98 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/ir/index.ts                                  | TypeScript |        221 |         12 |         24 |        257 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/ir/input.ts                                  | TypeScript |        192 |         23 |         26 |        241 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/ir/process.ts                                | TypeScript |        205 |          3 |         13 |        221 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/ir/processKeydown.ts                         | TypeScript |        196 |         20 |         23 |        239 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/abcRender.ts                        | TypeScript |         25 |          0 |          3 |         28 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/adapterRender.ts                    | TypeScript |         32 |          1 |          1 |         34 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/anchorRender.ts                     | TypeScript |         18 |          0 |          2 |         20 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/chartRender.ts                      | TypeScript |         34 |          0 |          4 |         38 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/codeRender.ts                       | TypeScript |         46 |          1 |          8 |         55 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/flowchartRender.ts                  | TypeScript |         23 |          0 |          3 |         26 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/getHTML.ts                          | TypeScript |         10 |          0 |          2 |         12 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/getMarkdown.ts                      | TypeScript |         11 |          0 |          2 |         13 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/graphvizRender.ts                   | TypeScript |         42 |          0 |          8 |         50 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/highlightRender.ts                  | TypeScript |         75 |          1 |         11 |         87 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/lazyLoadImageRender.ts              | TypeScript |         52 |          0 |          5 |         57 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/mathRender.ts                       | TypeScript |        135 |          1 |          9 |        145 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/mediaRender.ts                      | TypeScript |         74 |          0 |          5 |         79 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/mermaidRender.ts                    | TypeScript |         47 |          0 |          3 |         50 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/mindmapRender.ts                    | TypeScript |         72 |          0 |          3 |         75 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/outlineRender.ts                    | TypeScript |        109 |          0 |          2 |        111 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/plantumlRender.ts                   | TypeScript |         30 |          0 |          3 |         33 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/previewRender.ts                    | TypeScript |        145 |          0 |          7 |        152 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/setLute.ts                          | TypeScript |         23 |          0 |          1 |         24 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/speechRender.ts                     | TypeScript |         94 |          0 |          8 |        102 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/outline/index.ts                             | TypeScript |         43 |          0 |          5 |         48 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/preview/image.ts                             | TypeScript |         46 |          2 |          3 |         51 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/preview/index.ts                             | TypeScript |        244 |          6 |         16 |        266 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/resize/index.ts                              | TypeScript |         47 |          0 |         11 |         58 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/sv/index.ts                                  | TypeScript |        111 |          2 |         13 |        126 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/sv/inputEvent.ts                             | TypeScript |        179 |         19 |         11 |        209 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/sv/process.ts                                | TypeScript |        203 |          5 |         15 |        223 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/sv/processKeydown.ts                         | TypeScript |        172 |         17 |          8 |        197 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/tip/index.ts                                 | TypeScript |         34 |          1 |          5 |         40 |
